year,gwangju,daegu,daejeon,busan,seoul,ulsan,incheon,jeju,avg
1980,4/7,4/4,4/9,4/1,4/11,4/4,4/20,4/1,4/7
1981,4/1,4/3,4/8,3/31,4/11,4/6,4/15,3/28,4/5
1982,3/31,3/29,4/3,3/23,4/8,3/29,4/10,3/25,3/31
1983,4/4,4/2,4/5,3/31,4/8,4/6,4/6,x,4/4
1984,4/11,4/11,4/14,4/10,4/19,4/13,x,4/4,4/11
1985,4/8,4/4,4/9,4/4,4/14,4/8,4/18,4/5,4/8
1986,4/6,4/5,4/7,4/2,4/15,4/5,4/20,4/2,4/7
1987,4/5,4/2,4/6,3/29,4/16,3/31,4/16,3/23,4/4
1988,4/8,4/6,4/8,4/4,4/13,4/9,4/17,4/5,4/8
1989,4/2,3/31,4/2,3/29,4/6,3/29,4/5,3/23,3/31
1990,3/28,3/25,3/30,3/21,4/6,3/24,4/12,3/12,3/27
1991,4/8,4/3,4/8,4/5,4/11,4/8,4/11,4/2,4/7
1992,3/26,3/30,3/30,3/25,4/2,3/29,4/4,3/9,3/27
1993,4/3,3/31,4/2,3/29,4/15,3/29,4/20,3/29,4/4
1994,4/5,4/3,4/5,3/31,4/8,4/2,4/10,3/30,4/4
1995,4/5,4/3,4/5,3/26,4/13,3/31,4/15,3/30,4/4
1996,4/14,4/9,4/11,4/7,4/20,4/6,4/21,4/4,4/11
1997,3/28,3/28,4/4,3/23,4/8,3/26,4/14,3/21,3/30
1998,3/26,3/28,3/31,3/24,4/3,3/27,4/9,3/16,3/28
1999,3/30,3/31,4/6,3/28,4/8,4/1,4/13,3/25,4/2
2000,4/2,3/31,4/5,3/31,4/10,3/31,4/15,3/28,4/3
2001,4/2,3/25,4/5,3/25,4/10,3/25,4/15,3/22,3/31
2002,3/22,3/20,3/30,3/21,4/2,3/20,4/4,3/18,3/24
2003,3/31,3/28,4/1,3/26,4/5,3/28,4/7,3/23,3/30
2004,3/27,3/23,3/30,3/21,4/5,3/24,4/9,3/17,3/27
2005,4/7,4/4,4/8,4/3,4/12,4/5,4/16,4/3,4/7
2006,3/30,3/28,4/8,3/27,4/10,3/27,4/14,3/25,4/1
2007,3/25,3/24,3/31,3/25,4/3,3/22,4/10,3/22,3/28
2008,3/31,3/27,4/3,3/25,4/6,3/26,4/8,3/23,3/30
2009,3/22,3/22,3/30,3/20,4/6,3/22,4/9,3/19,3/26
2010,3/31,4/5,4/16,3/30,4/12,4/3,4/20,3/19,4/5
2011,4/6,4/2,4/12,4/1,4/13,4/2,4/20,3/28,4/6
2012,4/8,4/4,4/11,4/5,4/15,4/6,4/19,3/30,4/8
2013,3/29,3/23,4/3,3/21,4/15,3/21,4/17,3/18,3/30
2014,3/28,3/27,3/28,3/25,3/28,3/28,3/30,3/25,3/27
2015,3/29,3/28,3/29,3/28,4/3,3/28,4/8,3/25,3/30
2016,3/29,3/25,3/31,3/28,4/2,3/28,4/6,3/21,3/29
2017,4/2,3/29,4/3,3/28,4/6,3/29,4/10,3/28,4/1
2018,3/27,3/27,3/31,3/27,4/2,3/29,4/6,3/22,3/29
2019,3/27,3/21,3/29,3/22,4/3,3/23,4/8,3/25,3/27
2020,3/23,3/21,3/24,3/23,3/27,3/23,3/30,3/24,3/24
2021,3/18,3/23,3/23,3/22,3/24,3/21,3/31,3/17,3/22
2022,3/25,3/26,3/31,3/28,4/4,3/28,4/9,3/25,3/29
2023,3/23,3/21,3/22,3/19,3/25,3/22,4/2,3/22,3/23
2024,3/27,3/27,3/30,3/25,4/1,3/28,4/3,3/23,3/28
